L,cols,rows,nHoles,sPos,P,k,nWalls,E,nWps,seed,D,T
72,7,7,5,inner,1,10,5,1,0,1072,38.67,59.6
73,7,7,6,inner,1,10,5,1,0,1073,39.33,60.1
74,7,7,6,inner,1,10,6,1,0,1074,40.33,61.3
75,7,7,6,inner,1,10,6,1,0,1075,40.33,61.3
76,7,7,7,inner,1,10,6,1,0,1076,41.00,61.8
77,7,7,7,inner,1,10,7,1,0,1077,42.00,63.0
78,7,7,7,inner,1,10,7,1,0,1078,42.00,63.0
79,7,7,8,inner,1,10,8,1,0,1079,43.67,64.7
80,7,7,8,inner,1,10,8,1,0,1080,43.67,64.7
81,7,7,6,inner,1,10,4,1,2,1081,40.33,61.3
82,7,7,6,inner,1,10,4,1,2,1082,40.33,61.3
83,7,7,6,inner,1,10,5,1,3,1083,42.33,63.7
84,7,7,7,inner,1,10,5,1,3,1084,43.00,64.2
85,7,7,7,inner,1,10,5,1,3,1085,43.00,64.2
86,7,7,7,inner,1,10,6,1,4,1086,45.00,66.6
87,7,7,8,inner,1,10,6,1,4,1087,45.67,67.1
88,7,7,8,inner,1,10,6,1,4,1088,45.67,67.1
89,7,7,8,inner,1,10,7,1,5,1089,47.67,69.5
90,7,7,9,inner,1,10,7,1,5,1090,48.33,70.0
91,7,7,7,inner,1,10,5,1,3,1091,43.00,64.2
92,7,7,7,inner,1,10,5,1,3,1092,43.00,64.2
93,7,7,8,inner,1,10,6,1,3,1093,44.67,65.9
94,7,7,8,inner,1,10,6,1,4,1094,45.67,67.1
95,7,7,8,inner,1,10,6,1,4,1095,45.67,67.1
96,7,7,9,inner,1,10,7,1,4,1096,47.33,68.8
97,7,7,9,inner,1,10,7,1,5,1097,48.33,70.0
98,7,7,9,inner,1,10,7,1,5,1098,48.33,70.0
99,7,7,10,inner,1,10,8,1,5,1099,50.00,71.7
100,7,7,10,inner,1,10,8,1,6,1100,51.00,72.9
101,7,7,8,inner,1,10,6,1,4,1101,45.67,67.1
102,7,7,8,inner,1,10,6,1,4,1102,45.67,67.1
103,7,7,8,inner,1,10,7,1,4,1103,46.67,68.3
104,7,7,9,inner,1,10,7,1,5,1104,48.33,70.0
105,7,7,9,inner,1,10,7,1,5,1105,48.33,70.0
106,7,7,9,inner,1,10,8,1,5,1106,49.33,71.2
107,7,7,10,inner,1,10,8,1,6,1107,51.00,72.9
108,7,7,10,inner,1,10,8,1,6,1108,51.00,72.9
109,7,7,10,inner,1,10,8,1,7,1109,52.00,74.1
110,7,7,10,inner,1,10,8,1,8,1110,53.00,75.3
111,7,7,9,inner,1,10,7,1,5,1111,48.33,70.0
112,7,7,9,inner,1,10,7,1,5,1112,48.33,70.0
113,7,7,9,inner,1,10,8,1,6,1113,50.33,72.4
114,7,7,10,inner,1,10,8,1,6,1114,51.00,72.9
115,7,7,10,inner,1,10,8,1,7,1115,52.00,74.1
116,7,7,10,inner,1,10,8,1,7,1116,52.00,74.1
117,7,7,10,inner,1,10,8,1,8,1117,53.00,75.3
118,7,7,10,inner,1,10,8,1,8,1118,53.00,75.3
119,7,7,10,inner,1,10,8,1,9,1119,54.00,76.5
120,7,7,10,inner,1,10,8,1,10,1120,55.00,77.7
